"id","nombre_iniciativa","componente_innovador","descripcion_iniciativa"
"234","AesoftMarket","La herramienta “AesoftMarket” es un aporte para que los distintos clientes en el mercado ecuatoriano e internacional puedan conocer la oferta de soluciones tecnológicas que hay en el Ecuador. Se encuentra agrupada por industria y por nivel de conocimiento de la empresa proveedora con respecto a la misma.","AesoftMarket es una plataforma que permite presentar la capacidad tecnológica de las empresas de software del Ecuador para los sectores productivos del país, llenando un vacío de información existente entre los sectores productivos y la capacidad de las empresas de tecnologías de la información.
Con esta herramienta se espera que la búsqueda sea fácil, amigable y productiva para que los clientes puedan ubicar fácilmente los proveedores acorde a sus necesidades."
"21","Agricultura Urbana Participativa - AGRUPAR","Mediante una red de actores, capacita a las personas sobre la agricultura orgánica, crianza de especies menores para después dar la oportunidad de comercializar en ""bioferias"", los excedentes de sus producciones","A través de la implementación de huertos con producción orgánica, crianza de animales menores, procesamiento de alimentos y comercialización de excedentes por medio de Bioferias, dentro del esquema de apoyo a la producción sana y solidaria. La agricultura urbana es una actividad integradora que incrementa la biodiversidad urbana y mejora la gestión ambiental, mejora los ingresos, además genera empleo y ahorro por el consumo de la producción propia para sus participantes"
"297","Agro Height","El beneficio directo es ir midiendo periódicamente el crecimiento del cultivo y tomar decisiones a tiempo en el transcurso del ciclo de producción para realizar ajustes de manera objetiva.
De esta forma se puede optimizar el cultivo y se puede obtener la máxima producción posible mejorando puntualmente las condiciones que se requieran.","Es una herramienta de monitoreo enfocada en obtener la altura del cultivo en toda su etapa de crecimiento, con el fin de cuidar y asegurar los niveles de producción adecuados."
"346","Agro Perception","sistema autónomo móvil de detección de plagas, enfermedades y problemas en cultivos de invernadero, basado en una plataforma robótica móvil provista de una cámara espectral y sensores.","optimizar y mejorar la actual metodología de inspección de cultivos de rosas en el Ecuador. Mejorando la producción y disminuyendo el riesgo de exportar rosas contaminadas con enfermedades o plagas. Para lograr esto se presenta un sistema autónomo que trabaja 24 7 en la detección de plagas, enfermedades y problemas, basado en la última tecnología en procesamiento de imágenes. El monitoreo y mapeo de la plantación estará disponible al usuario por medio de un software"
"295","AgroCloud","Permite que se efectúe un procesamiento rápido en la web del levantamiento fotogramétrico por drone.
Brinda la posibilidad de una visualización accesible desde la web del estado del cultivo mediante los ortomosaicos y su información multiespectral.
Además, hace factible la interacción con el ortomosaico.","Agrocloud es una plataforma web destinada al procesamiento de fotografías capturadas por drone, ya sean multiespectrales o RGB; con la finalidad de obtener los ortomosaicos de la zona."
"296","AgroMetri","Permite obtener un diagnóstico temprano de la eficiencia del área sembrada en la etapa inicial de crecimiento del cultivo y tomar decisiones, ya sea de sembrado u otro tipo de actividad agrícola, para asegurar que el cultivo no sufra una disminución de producción al momento de la cosecha.","Es una herramienta de prevención enfocada en obtener el porcentaje de densidad por números plantas (despoblación) de un cultivo para mantener la eficiencia de este."
"237","Agroecología en América Latina: construyendo caminos","Recolección de datos realizada de forma participativa con familias agricultoras y organizaciones de apoyo, facilitado por una herramienta digital de gestión agrícola desarrollada por un equipo de científicos, agricultores-colaboradores, diseñadores, desarrolladores y estudiantes de UBC, llamada LiteFarm.","Iniciativa piloto regional que tiene como estrategia recoger y sistematizar evidencias científicas para el desarrollo de Indicadores de la Agroecología, con el objetivo de contribuir con la transición agroecológica y subsidiar la construcción de políticas públicas que promuevan el avance de la Agroecología."
"321","Alianza para el desarrollo Urbano Sostenible - ADUS","Impulsamos iniciativas orientadas al desarrollo sostenible de comunidades a partir de alianzas público-privadas para: 1. Incidir en el mejoramiento de las relaciones comunitarias. 2. Promover una gestión sostenible y participativa de lo local. 3. Fortalecer capacidades de asociaciones productivas.","ADUS se constituyó como un espacio de trabajo colaborativo y sinérgico para promover el compromiso de la ciudadanía y  de los y las candidatas a las alcaldías y sus equipos de trabajo para incluir el Cambio Climático y el Desarrollo Urbano Sostenible en acciones y en sus planes de gobierno, en el plazo inmediato."
"101","Amautha Hub","Aprendizaje en comunidad para formar relaciones estratégicas de emprendimiento que provee espacios de trabajo colaborativo.","Somos una plataforma de emprendimiento que provee espacios de trabajo colaborativo en comunidad, y  desarrolla recursos para negocios en comunidad para formar relaciones estratégicas de emprendimiento."
"100","Amautha Hub","Aprendizaje en comunidad para formar relaciones estratégicas de emprendimiento que provee espacios de trabajo colaborativo.","Somos una plataforma de emprendimiento que provee espacios de trabajo colaborativo en comunidad, y  desarrolla recursos para negocios en comunidad para formar relaciones estratégicas de emprendimiento."
"308","Aprendiendo a Pescar","El proyecto “Aprendiendo a Pescar” apunta a desarrollar emprendimientos sostenibles y sustentables a través de la capacitación a la población, encaminados a mejorar la calidad de vida de los ciudadanos/as y reducir la brecha de la desigualdad social.","El proyecto denominado “Aprendiendo a Pescar” tiene como objetivo propiciar el desarrollo de pequeños emprendimientos productivos y de servicios en las parroquias y comunidades del cantón Guaranda, mediante talleres de Capacitación Artesanal.
Este proyecto está dirigido para personas en condiciones de vulnerabilidad, mediante la capacitación en ramas artesanales tales como panadería, belleza y peluquería, corte y confección, carpintería, repostería, adornos para el hogar, etc. La capacitación incluye la entrega de kit personales de trabajo y un certificado de capacitación con el aval de la Junta Nacional del Artesano."
"347","Aprendizaje Libre - coddic","programa educativo integral que enseña las bases de Ciencias de la Computación a niños y niñas a partir d los 8 años de edad, utilizando un entorno virtual de enseñanza aprendizaje.","Generar la enseñanza de ciencias de la computación a niños y niñas a partir de tres niveles: Jugando con Binarios, Construyendo Algoritmos, Dominando Código.  Así mismo construir una asignatura de esta temática para aplicarse en Ecuador u otros países de Latinoamérica que apuesten por la codigo-alfabetización para desarrollar el pensamiento computacional a edades tempranas."
"120","Arsquitensis: transmedia patrimonial.","Por medio de narrativas transmedias narrar los espacios de arte patrimonial para generar apropiación del patrimonio en la gente","""Los objetivos del proyecto son:
 
 Narrar los espacios de arte patrimonial con herramientas digitales.
 Crear espacios de inmersión e interactividad con las audiencias.
 Contar historias de la gente y su relación con el patrimonio.
 Generar apropiación del patrimonio en la gente.
 Brindar apoyo a los espacios culturales y patrimoniales en el desarrollo de narrativas transmedia."""
"119","Arte Contemporaneo Ecuador","Plataforma web que reúne la información de artistas de diversas generaciones para difundir su producción artística","Plataforma web lanzada en 2015 que busca difundir la producción de artistas contemporáneos de Ecuador. Hasta el momento la plataforma reúne el trabajo de más de 150 artistas visuales de diversas generaciones y trayectorias."
"310","Arte, migración y reciclaje en Ibarra","Uso de la App ReciApp para optimizar el registro y contacto con recicladores de la ciudad así como población migrante. Articulación del arte y el uso de fuentes de energía alternativa para brindar mejores condiciones a los recicladores.","A través de actividades lúdicas y de bienestar reúnen recicladores de la ciudad de Ibarra así como personas migrantes, para registrarlos en la App ReciApp, que cumple el propósito que los ciudadanos los busquen en el mapa, los contacten y entreguen directamente el material reciclable en estado adecuado. Así, los ayudan a mejorar sus condiciones laborales y su calidad de vida."
"313","Artesalinas","Fortalecimiento del proceso productivo y de la comercialización de artesanías elaboradas con lana de oveja y llama","Desde 1974 quince mujeres organizadas por la salinera Gladys Salazar y con el apoyo de algunas personas más, se organizaron para diseñar productos artesanales de lana de oveja y llama. Con el tiempo se introdujeron mejoras en el proceso productivo y de comercialización, que les ha permitido llegar a mercados como Italia, Alemania y Finlandia."
"195","Asamblea General RICHSL","Se manejan cuatro líneas de investigación referentes a educación y ciencia, software libre para una sociedad libre, hardware libre y tecnologías de software libre. Las líneas de investigación se enmarcan en la investigación colaborativa, participativa y abierta.","Es un espacio de encuentro, debate y articulación para la gestión democrática de la red. Desde él se definen los requerimientos de investigación en el sector de hardware y software libre; se produce conocimiento a través de grupos de estudio que se articulan con la academia y la sociedad civil; y se impulsa el debate de las problemáticas relacionadas con la investigación, el conocimiento, y las tecnologías libres para generar acciones a implementar."
"111","AsertivaLab","Creación de espacios de desarrollo de creatividad.","AsertivaLab te ofrece espacios de trabajo colaborativos para el desarrollo y ejecución de tus ideas junto a otros profesionales, en un ambiente confortable e inspirador."
"138","Asesoría a Emprendedores","Mediante la metodología CISU “Creando Innovadores Start-Ups” genera soluciones, ideas disruptivas que generan un valor económico y/o social a los emprendimientos","La metodología CISU “Creando Innovadores Start-Ups”, ha sido creada para la generación de emprendimientos disruptivos, con base en ideas radicales potenciando la creatividad, en diferentes áreas o industrias"
"248","Asesoría y capacitación para promover la gestión eficiente y efectiva de instituciones públicas y privadas","Asesoramiento y planes de emprendimiento empresarial; asesoría y capacitación en diseño, elaboración y gestión de proyectos; desarrollo de Estructuras y Modelos de Gestión Institucional, y aplicación de metodologías presupuestación.","Se orienta a promover la gestión eficiente y efectiva de instituciones públicas y privadas para el cumplimiento de sus objetivos y metas. Cuenta con un equipo multidisciplinario para proponer soluciones a los más complejos retos las empresa y organizaciones. Además, despliegan metodologías de investigación para solventar necesidades con enfoque global y sostenibilidad."
"102","Asociación de jóvenes Empresarios del Ecuador","Networking Empresarial, Eventos Especiales, Representación Gremial a bajo costo para potenciar los negocios.","La Asociación de Jóvenes Empresarios, AJE Ecuador, promueve la oportunidad de potenciar negocios entre empresarios jóvenes del país, poniendo a su disposición una red de contactos públicos y privados a niveles nacional e internacional"
"263","Atención a población colombiana migrante y refugiada en el Ecuador","Debido a la ausencia de socialización y difusión de derechos y servicios a la población colombiana en el Ecuador, uno de los elementos del proyecto se ha orientado al fortalecimiento la capacitad institucional, a través de estrategias de formación en temas de sensibilización de género en movilidad humana.","El proyecto busca incrementar el acceso a mecanismos de protección a la población migrante y refugiada colombiana, integrarlos a los servicios y programas de desarrollo gubernamentales, así como facilitar su inclusión social e integración en las comunidades de acogida."
"221","B-Women","B-Women cuenta con un Club de Mujeres Innovadoras, para crear una comunidad representada por los emprendimientos más destacados e innovadores; y una Aceleradora de Mujeres Innovadoras, la primera de este tipo para las mujeres empresarias del país, programa destinado a impulsar a empresas con potencial.","En un escenario en el que las mujeres empresarias del Ecuador enfrentan desafíos personales y obstáculos del entorno empresarial en su desarrollo en diferentes ámbitos; se orienta a promover la mejora de sus capacidades empresariales y de liderazgo a través de la generación de redes de contactos, acceso a fuentes de financiamiento y visibilidad corporativa en el mercado."
"63","BSMART","Para fomentar la cultura de innovación y beneficiar e impulsar a las micro, pequeñas y medianas empresas, se genera un evento INNOVATALK, que reune CEO's gerentes, emprendedores para introducir y preparar retos de la implementación de la transformación digital e innovación en las empresas","Acortamos la brecha tecnológica de las Pymes, implementando estrategias y herramientas que potencien su transformación digital para incrementar su productividad y competitividad. de la transformación digital."
"64","BSTRATEGY (Ciudades competitivas)","Con Hogares In se facilita el acceso a tecnologías de la información a 50000 familias guayaquileñas a través del subsidio de 20 usd otorgado por la Alcaldía de Guayaquil con el que pueden canjear más un valor adicional una tablet con plataformas educativas: APCI, KHAN ACADEMY y DUOLINGO impactando positivamente el desarrollo académico desde casa.","Con nuestra solución B Strategy establecemos la estrategia, conceptualizamos y diseñamos ciudades innovadoras.B Strategy involucra a todos los actores de la sociedad logrando crear verdaderas ciudades innovadoras e inclusivas, donde se fomenta las capacidades de innovación a los niños, ciudadanía y empresas."
"83","Banco de Alimentos de Quito","Acción comunitaria por un bien común.  Los alimentos son redistribuidos a población vulnerable.","El Banco de Alimentos de Quito de la Escuela Politécnica Nacional se encarga de evitar el desperdicio de alimentos en la ciudad. Los alimentos son redistribuidos a población vulnerable."
"36","Banco de Ideas","Es un portal donde la gente puede intercambiar comentarios, compartir, o discutir nuevas ideas. Además puede revisar los agentes de innovación que hay de acuerdo con un mapa georeferencial","Banco de Ideas, un portal donde puedes invertir tus proyectos, investigaciones, prototipos para recibir apoyo y servicios especializados, y desarrollar el componente creativo, tecnológico e innovador de tus ideas. Queremos impulsar tus proyectos para transformarlos en bienes y servicios que resuelvan problemas y necesidades sociales, fomentando el desarrollo productivo y el buen vivir de la sociedad."
"279","Be Green","Be Green es una iniciativa que brinda asesoría ambiental y capacitaciones en torno a iniciativas por el clima por medio de canales digitales. Juntan varios tipos de servicios de carácter ambiental.","Be Green es una iniciativa que brinda asesoría ambiental y capacitaciones en torno a iniciativas por el clima. Adicionalmente brindar consultoría ambiental y guía en seguridad industrial."
"286","Betero","Betero promueve el consumo consciente. Verifican el origen sus materiales y usan papel de alta calidad, reciclable, biodegradable, sin cloro, sin ácido, ni metales pesados.","Betero, libretas para dibujo, apuntes, arte o creación; cosidas, hechas a mano, de varios tamaños y diseños, con papel especial y características que lo hacen atractivo en el mercado."
"122","BiciQuito","Mediante la prestación de bicicletas fomenta un modo de transporte no motorizado para viajes cortos.","BICIQUITO es una alternativa económica y ecológica para transportarnos en la ciudad: La Bicicleta Pública de Quito está disposición de los Quiteños y Quiteñas ."
"91","Bioconversión de residuos orgánicos","Uso de materiales bio-degradables.","La bioconversión de resiudos orgánicos y plástico por medio de invertebrados es una alternativa de gestión de residuos para la transformación de nutrientes en bioproductos, reduciendo la pérdida de biodiversidad y servicios ecosistémicos y dinamizando la bioeconomía."
"86","Buenas Prácticas Ambientales En El Campus Politécnico","Acción comunitaria por un bien común, y actuar ante problemas ambientales en manejo de residuos","Se desarrollan actividades en el campus en cada semestre académico para identificar y actuar ante problemas ambientales en manejo de residuos, conservación de árboles patrimoniales y áreas verdes, reducción de contaminación de aguas residuales de laboratorios, reducción de consumo de recursos."
"23","Bájale al acoso","Mediante el uso de herramientas técnológicas como una plataforma gratuita de mensajería SMS se realiza una estrategia para prevenir y atender casos de violencia sexual.","Estrategia integral para prevenir y atender los casos de violencia sexual en las paradas (andenes) y unidades del sistema integrado de transporte terrestre público de Quito"
"303","CAPACITACIÓN A COMUNIDADES INDÍGENAS DE ECUADOR","La Fundación identifica el proyecto a implementar y las capacitaciones necesarias a ofrecerse. Los cursos son realizados por expertos, buscando fortalecer los conocimientos teórico-prácticos de la comunidad, utilizando diferentes medios y metodologías de investigación para desarrollar proyectos que contribuyan al progreso de la localidad.","El proyecto sirve para mejorar el aspecto socio-económico y de desarrollo comunitario ambiental, a través de la investigación de la naturaleza y del ambiente, capacitación a infantes, jóvenes, mujeres y adultos mayores de diferentes estratos sociales y grupos étnicos, contando con el apoyo de personería jurídica de derecho privado y de carácter social."
"47","CODEIS LABS","Por medio de metodologías internacionales ayudan a los emprendedores desde la incubación de su idea, además genera reportes de política pública sobre emprendimiento social","Incubadora de emprendimientos con propósito y de alto impacto, a través de metodologías internacionales que nos guiarán a los emprendedores hacia la Cuarta Revolución Industrial."
"46","CODEIS SOCIAL","Por medio de diferentes talleres como ""world change makers ideation"" busca empoderar a grupos vulnerables y trasnformar sus comunidades","Busca empoderar grupos en situación de vulnerabilidad a través de herramientas técnicas y metodológicas aplicables para la transformación de sus comunidades en situación de vulnerabilidad."
"374","COME SANO, PAGA JUSTO","La propuesta de este proyecto es actuar en un escenario caracterizado por factores interrelacionados como la escases de recursos para la inversión, estado general de emergencia y necesidad de reactivar el intercambio económico con las productoras de la AVCH, quienes ya venden sus productos en la ciudad de Tena, promoviendo un comercio justo y solidario, así como un consumo responsable y sano.","Circuito de próximidad comercial entre productoras de la Asociación Valle de El Chaco (avch) y consumidores de la ciudad del tena. Con la finalidad de apoyar los esfuerzos de producción sostenible del Municipio El Chaco y la AVCH, a través de la definición de estrategias de comercio justo y solidario en la ciudad de Tena."
"200","CREAS Ecuador","Apoyar el crecimiento y consolidación de emprendimientos o empresas pequeñas que tengan por enfoque el resolver un problema ambiental o social en el país, brindando el capital y apoyo necesario para tener un verdadero impacto escalable y de esta manera contribuir con el cumplimiento de los ODS.","El objetivo del Fondo de inversión de impacto CREAS ECUADOR es realizar inversiones encaminadas a fomentar y potencializar empresas y proyectos en marcha con potencial de crecimiento y que puedan demostrar tener un impacto positivo ambiental o social en el país o en la región."
"227","CUSI","Modelo de negocio que propone agregar valor a las cosechas de los productores de alimentos del Ecuador, a través del mínimo proceso de la materia prima y la producción de premezclas e ingredientes, partiendo de investigación y asesoramiento de expertos para la elaboración de alimentos saludables y nutritivos.","CUSI – Gourmetandino es un emprendimiento familiar cuyo objetivo es servir como un puente entre las comunidades de agricultores y los alimentos que ellos producen y los consumidores; para de esta forma contribuir dinámicas de producción y consumo responsables."
"172","Cafeina","Uso de teoría del color y de la forma para creación de contenido amigable y lograr transmitir.","Somos un nuevo formato de agencia de publicidad enfocados en crear vínculos emocionales entre marcas y audiencias mediante historias y comunicación digital que generen resultados medibles y de gran impacto en la sociedad."
"155","Cafetina","Brinda espacios de distribución a emprendedores de alimentos.","Es una cafetería que pertenece al cine Ocho y Medio y que ofrece a parte de este servicio una agenda cultural y un espacio para la economía solidaria a través de ferias de dulces, pulgas, etc para microempresarios."
"341","Café Emprende","La iniciativa busca entregar, a través de charlas y talleres, las herramientas necesarias para transformar ideas en realidades. Contando con el acompañamiento de diferentes personajes nacionales e internacionales especializados en el área del emprendimiento, y sobre todo comprometidos en la sociedad.","El proyecto cuenta con una serie de eventos de emprendimiento, que buscan inspirar a jóvenes y público en general a convertir sus ideas de impacto social en emprendimientos rentables y sostenibles en el tiempo. La iniciativa tiene el objetivo de formar líderes emprendedores, profesionales íntegros que busquen cambiar al mundo desde la universidad por medio de charlas vía online. Además de proveer de un espacio educativo en el que los universitarios, puedan desarrollar un pensamiento emprendedor, a través de charlas que los impulse a generar emprendimientos a futuro desde la universidad."
"327","Caja de Apoyo Mutuo MHAS (Mujeres y Hombres Ahorrando Solidariamente)","La caja comunitaria se reúne en la oficina de UTOPÍA todos los primeros lunes de cada mes. Hay que pagar 10$ para participar. Cada mes, cada socio tiene que ahorrar 5$ mínimo. Cada socio puede pedir hasta 1000$, sin interés, teniendo hasta 1 año y medio para devolver. Su objetivo es el facilitar servicios de aportes “ahorro” y apoyos “crédito”.","La caja de apoyo mutuo MHAS es un sistema de finanzas solidarias de autogestión que hace una ruptura con las finanzas convencionales. El objetivo es juntar los ahorros de todos los participantes en base a la confianza con el fin de otorgar créditos entre los participantes. Podrá así invertir para mejorar su vida sin tener intereses con los bancos y sin justificar lo que quiere hacer con este dinero."
"278","Cambio Verde","Cambio Verde, al ser una tienda less waste  ofrece productos ecológicos y naturales, que sean amigables con el ambiente y el bienestar de las personas, contribuyendo a un mundo más sostenible. Logra juntar varios productos para no tener que buscarlos de forma individual en varios lugares.","Cambio Verde es una tienda less waste que busca ofrecer un espacio alternativo con variedad de productos ecológicos naturales donde el consumidor pueda encontrar calidad y buen servicio."
"59","Campamento","Desarrolla las competencias laborales de los jóvenes para mejorar las condiciones de empleabilidad, por medio de la enseñanza de lenguaje de programación Python y manejo de bases MySQL","Buscamos contribuir a mejorar las condiciones de empleabilidad de los jóvenes entre 18 a 25 años de Guayaquil mediante el diseño y elaboración de un programa de desarrollo de competencias laborales acordes con a las necesidades del mercado laboral."
"210","Campaña soberanía alimentaria","Utilización de plataformas digitales para la difusión de la campaña, posicionando ideas acerca de la importancia de la transformación del sistema agroalimentario como alternativa frente al modelo agroindustrial extractivista.","Se propone visibilizar las acciones y agendas que plantean las organizaciones del campo y de mujeres, en torno a los modelos de vida que se plantean dentro del contexto electoral en Ecuador y que tienen que ver con los modelos de desarrollo rural en el país."
"154","Campo Limpio","Mediante campañas educativas para los agricultores, se logra la recolección de envases limpios para su acopio, transporte y reciclaje","CampoLimpio es el Programa de Manejo de Envases Vacíos, que promueve la devolución de los envases con la técnica del Triple Lavado y perforados para evitar su reutilización y poder proceder con una adecuada disposición final."
"339","Carreras de Belleza y Corte, Confección y Bordado.","El Centro de Formación Artesanal del Municipio de Riobamba, brinda formación gratuita en las ramas artesanales de “Belleza” y “Corte, Confección y Bordado”, con una duración de 2 años lectivos, otorgando el Título de Maestros/as de Taller Artesanal refrendado por el Ministerio del Trabajo y la Junta Nacional de Defensa del Artesano.","Se trata de un logro alcanzado gracias a la gestión ejecutada por la administración municipal, en cuanto a la necesidad de la generación de un punto de capacitación accesible para la población de atención prioritaria. Las clases son teóricas y prácticas y se cumplen de lunes a viernes, en horario de 13H10 a 18H50.  Las materias impartidas están reguladas acorde a los requisitos de formación académica establecidos por la Junta Nacional de Defensa del Artesano."
"141","Cash-In","Por medio de una aplicación que actua como asistente financiero se busca crear hábitos de control financiero","La aplicación multiplataforma para díspositivos móviles que actúa como un asesor financiero que permite registrar todos los gasto e ingresos que realizan las personas a diario con el objetivo de analizar la situación financiera de las usuarios y ayudarlos a crear metas de ahorro, inversión y compras de manera facil e intuitiva."
"109","Central WorkLab","Apoyo a la constante innovación como respuesta resiliente al porvenir.","""Central no es solo un espacio de trabajo flexible, es un
ecosistema innovador, para Startups y emprendedores, donde los proyectos crecen. La creatividad, la colaboración y la
experimentación son claves para que tu proyecto siga
evolucionando."""
"72","Centro de Apoyo al Emprendedor (CAE)","Genera un espacio para presentación y apoyo de ideas de emprendimientos a través de Proyectos Integradores y de Proyectos de Vinculación. También emite certificados profecionales tanto presencial como virtual y específicos para las necesidades de las empresas","Promover el desarrollo económico y social de la comunidad emprendedora a través de la gestión del conocimiento, la articulación de actores y el fomento de la cultura emprendedora, la innovación y la formación del capital humano, tomando en consideración las mejores prácticas de gestión empresarial."
