143,Empresa Pública Municipal de Turismo de Guayaquil,,
158,El parto es nuestro,,
157,Ecuarunari,,
148,Ecuaprotesis 3D,,
176,Easyfix,,
187,EMPRENDEC,,
129,EGM ROBOTICS,,
17,ECX Labs,,
117,E-Consulting 360,,
140,Domo Soluciones Web & TI,,
263,Dialogos Vitales,,
233,Dialogo Diverso,,
89,Deloitte,,
192,DINERS CLUB + IMPAQTO,,
2,DATALAT,,
23,Cámara de Innovación y Tecnología Ecuatorianaf,,
73,Cámara de Comercio de Guayaquil,,
204,Cámara de Comercio Ecuatoriano Americana,,
134,Cuestionarix,,
156,Credipy,,
149,Crece Ecuador,,
11,Coworking Cohesion Group,,
138,Cowork OBC,,
45,Corporación para el Desarrollo del Emprendimiento y la Innovación Social,,
104,"Corporación de ciencia, tecnología e innovación del Ecuador",,
194,Corporación de Ferias de Loja,,
234,Corporación de Emprendimiento e Innovación Productiva Latinoamericana,,
227,Corporación de Desarrollo de Ambato y Tungurahua,,
31,Corporación Nacional de Telecomunicaciones,,
123,Corporación Nacional de Finanzas Populares y Solidarias,,
253,Corporación Líderes para Gobernar,,
105,Corporación Financiera Nacional,,
88,Cooperativa de Ahorro y Crédito Cooprogreso Ltda.,,
236,"Consultora Económica en Gestión, Estudios y Planificación",,
160,Consejo de pueblos y organizaciones indígenas evangélicas del Ecuador,,
20,ConQuito,,
135,Comité empresarial ecuatoriano,,
298,Colectivo Central Dogma,,
113,Coinnovar,,
109,Co-Madres,,
216,Clun Realidad Virtual UTPL,,
155,Centro de derechos económicos y sociales,,
196,Centro de Investigaciones de Políticas Públicas y Territorio,,
68,Centro de Innovación Rokk3r IDE,,
185,Centro de Innovación Disruptive,,
316,Centro de Formación Artesanal del Municipio de Riobamba,,
225,Centro Tecnológico de Entrenamiento y Capacitación,,
78,Centro Competitividad e Innovación,,
108,Central WorkLab,,
154,Cafetina,,
171,Cafeina,,
198,CREAS Ecuador,,
141,CORPEI,,
137,CISU Creando Innovadores Start- Ups,,
230,CARE -Ecuador,,
266,BuenTrip Hub Final,,
267,BuenTrip Hub,,
13,Buen Trip xxx,,
44,Box Emprendimiento,,
222,Biometrika Cloud Services,,
319,BioIngenio Ecuador,,
144,Binaria IT Services,,
43,Bayteq,,
107,BanEcuador,,
101,Asociación de jóvenes Empresarios del Ecuador,,
178,Asociación de Municipalidades Ecuatorianas,,
218,Asociación de Jóvenes empresarios del Ecuador,,
289,Asociación de Desarrollo Social de Artesanas Texal,,
223,Asociación Ecuatoriana de Software,,
77,AsiriLabs,,
110,AsertivaLab,,
118,Arte Contemporaneo Ecuador,,
119,ArsQvitensis,,
34,Aplios,,
99,Amautha Hub,,
14,Alianza para el Emprendimiento y la Innovación,,
197,Alianza para el Emprendimiento e Innovación,,
41,Al Borde,,
133,Aiko,,
272,AgroScan,,
285,Acción Social Municipal del Gobierno Autónomo Descentralizado del Cantón Guaranda,,
237,Academia de Ciencias del Ecuador,,
210,AGRO-WORKS,,
